,Song_Title,Artist,Lyricist,Composer,Lyric
10,addiction,"
Mr.Children",KAZUTOSHI SAKURAI,KAZUTOSHI SAKURAI,週末を跨いだ長い連休を前に 街は少し浮き足だって 行楽地を目指して渋滞が始まった 排気ガスを撒き散らして window に映り込んだ男は今 無表情を決め込んで自分を圧し殺してる どんなに言い聞かせても 変われぬものがあるよ 欲しくてたまらないよ more more more！ ほら 誰かが今日も それを持て余してるよ 上級者は誰にも感づかれぬように 上手いことやってるらしい あちら側の自分と ここで生きる自分を 冷静にコントロールして そろそろwoofer に身悶えて その衝動が今君の理性をぶち壊してく 今日は我慢出来ても また手を出してしまうだろう 時々恐くなるよ more more more！ さぁ 内なる声に ほら 耳を澄ましてごらん 今日は我慢出来ても また手を出してしまうだろう 決して満足なんか出来ないよ more more more！ 首を横に振ってみても きっと拒めはしないだろう 欲しくて堪らないよ more more more！ どんなに言い聞かせても 今日は大人しく出来ても またすぐ欲しくなるよ more more more！
11,Another Story,"
Mr.Children",Kazutoshi Sakurai,Kazutoshi Sakurai,最終のバスにはまだ間に合うかなぁ 遠くの街まで君を迎えに行く いつも笑ってた 無理してたんだな それも分かってた 自分のことばかりいつも主張して 君の言葉なら上の空で聞いて ギターを弾いてた ぼんやりといつも ギターを弾いてた ごめんねって言葉 君は聞き飽きてるんじゃないかなぁ? どんな風に言えば 優しい君は戻ってくるかなぁ? よく出かけた公園をバスは今通過中 いつかの君が横切る 記念日を携帯が知らせてくれて そんなときばかりうまく立ち回って 誇張して言えば そんな感じだろう 君にしてみれば 抱き合いながら 僕らは孤独とキスをして 分かったような台詞 ささやきながら眠りに落ちて 朝が来て日常が 僕らを叩き起こし 逃げるようにベットから這い出る 最終のバスは君にたどり着いて 恐る恐る僕は君の名を呼んだ 君は笑ってた 無理はしないでよ だけど笑ってた 夢とか理想とかおもちゃみたいにまだ思ってるかなぁ? 分かり合うなんてそう簡単じゃないのは分かってる ごめんねって言葉 君は聞き飽きてるんだろうけど 誤解がしょうじないように 簡潔に伝えられぬもんかなぁ 君と生きる毎日が なんだかんだ言って嬉しい そう君の笑顔と共に そう君の笑顔と共に
12,Another Mind,"
Mr.Children",桜井和寿,桜井和寿,何故に卑屈な微笑浮ぶ この街角 行き交う人の波が 奏でてる不協和音(discord) 自分を打ち砕くリアルなものは 偽りだと目を伏せてた 個独な Teenage 幼き日々のように 無邪気なふりをしては 愛すべき人達(ひと)の 支えの中に溺れてゆく 傷つけずにいられない程 誰かが定めた自分を演じてる Another Mind 流されるのも慣らされて たどり着けばいつも Oh No 何もかも投げ出せば It's just darkside of my heart 肩の荷もおりそうさ It's just darkside of my heart わずかなプライドを守る為に 誰もが必死で暮してる 砂に書いたような“理想”の文字は 時代(とき)の波にさらわれてく 不思議なこの街 誰も愛さずにいれるものなら 罪な恋に惹かれてゆく この心を消してくれ 誰かが定めた自分を演じてる Another Mind 身動きもできない程に 抱えたプレッシャーはシュール 流されるのも慣らされて たどり着けばいつも Oh No 振り向けば夕闇が包む この街角
13,雨のち晴れ,"
Mr.Children",桜井和寿,桜井和寿・小林武史,単調な生活を繰り返すだけ そんな毎日もいいさ 親友との約束もキャンセルして 部屋でナイターを見よう あの娘が出て行ったのは もう3ヵ月前 淡い想い出だけを ほのかに残して 涙もない 言葉もでない あっけない結末 あれほど燃え上がってた二人が嘘みたい 最近じゃ グラマーな娘に滅法弱い 男ってこんなもんさ 新人のマリちゃんに言い寄っても まるで手応えが無い 不景気のあおり受けて 社内のムードは 緊迫しているから 僕一人が浮いてる 上司に愚痴言われるうちが「花」だって言うから いっそ可憐に咲き誇ろうかと思うよ もうちょっと もうちょっと 頑張ってみるから ねえもっと ねえもっと いい事があるかな 今日は雨降りでも いつの日にか 「お前って暗い奴」そう言われてる 幼少の頃からさ 1DK狛江のアパートには 2羽のインコを飼う たまに実家に帰れば 真面目な顔して 出来損ないの僕に母親は繰り返す 「生きているうち孫を抱きたい」それもわかる気がする なるべくいい娘探したいって思っちゃいるけど もうちょっと もうちょっと 僕を信じてみて こうなっちゃ こうなっちゃ 後戻りできない イメージはいつでも 雨のち晴れ 優秀な人材と勘違いされ あの日の僕はただ 過酷なしがらみを 掻き分けては 頭を下げていた 若さで乗り切れるのも 今年ぐらいだね この先どうなるのかなんて 誰もわからない その日暮し 楽しく生きりゃいいのかもしれないね そんな事思いながらも また日が暮れる もういいや もういいや 疲れ果てちまった そう言って そう言って ここまで来たじゃないか 今日は雨降りでも いつの日にか もうちょっと もうちょっと 頑張ってみるから ねえもっと ねえもっと いい事があるかな イメージはいつでも 雨のち晴れ いつの日にか 虹を渡ろう
14,ALIVE,"
Mr.Children",KAZUTOSHI SAKURAI,KAZUTOSHI SAKURAI,この感情は何だろう 無性に腹立つんだよ 自分を押し殺したはずなのに 馬鹿げた仕事を終え 環状線で家路を辿る車の中で 全部おりたい 寝転んでたい そうぼやきながら 今日が行き過ぎる 手を汚さず奪うんだよ 傷つけずに殴んだよ それがうまく生きる秘訣で 人類は醜くても 人生は儚くても 愛し合える時を待つのかい 無駄なんじゃない 大人気ない 知っちゃいながら さぁ 行こう 夢はなくとも 希望はなくとも 目の前の遥かな道を やがて何処かで 光は射すだろう その日まで魂は燃え 誓いは破るもの 法とは犯すもの それすらひとつの真実で 迷いや悩みなど 一生消えぬものと思えたなら ボクらはスーパーマン 怖いものなんてない 胸を張ってたい そして君と さぁ 行こう 意味はなくとも 歩は遅くとも 残されたわずかな時を やがて荒野に 花は咲くだろう あらゆる国境線を越えて さぁ 行こう 報いはなくとも 救いはなくとも 荒れ果てた険しい道を いつかポッカリ 答えが出るかも その日まで魂は燃え 夢はなくとも 希望はなくとも 目の前の遥かな道を やがて荒野に 花は咲くだろう あらゆる国境線を越え
15,ありふれた Love Story ～男女問題はいつも面倒だ～,"
Mr.Children",KAZUTOSHI SAKURAI,KAZUTOSHI SAKURAI,変わらぬ愛と信じきっていた二人 移りゆく季節を歩いてきた 若気の到りなんて他人は云う ありふれた者同志の Love Story 彼は重い鞄を引きずって 街中を駆け回ってるビジネスマン 追われるように過ぎ去っていく暮らし 夢見たもんと遠く離れていた 苛立っていた 戸惑っていた 映画にある様な出会いなど滅多にはないから 知人の伝手なんか頼っては恋を探してた 彼女は生まれた町から都会へ出たばかり 猜疑心と好奇心両手に抱え 悪戦苦闘くり返してる毎日で…… そして恋は生まれた 運命の糸が操っている様にも思えた 愛は尽きる事ない 想いは揺るがない そう信じてた やがて二人は暮らし始めた 若さのわりに優雅なマンションで 互いのプライバシーを尊重して 上手くバランス取ってるはずだった でも人生とはいつも困難で いつしか二人嫌なムード 啀み合うばかり 冷めてく想いを分かってるくせに 気付かぬ振りでやり過ごしている 大人を気取れど 自我を捨てれない 辻褄合わせるように抱き合って眠る 「愛は消えたりしない 愛に勝るもんはない」なんて流行歌の戦略か? そんじゃ何信じりゃいい? 「明日へ向かえ」なんていい気なもんだ 混乱した愛情故に友情に戻れない 男女問題はいつも面倒だ そして恋は途切れた 一切合切飲み込んで未来へと進め
16,アンダーシャツ,"
Mr.Children",KAZUTOSHI SAKURAI,KAZUTOSHI SAKURAI,練りに練られたカリキュラムにそって  若年寄はトレンド志向の強い Dream あなたも私も何かが足りない 心の隙間を金で満たし Cheers デザイナーズブランド インポートワイン “高価い物がいいもん”の理論 叩き込まれて 僕等は不敵 何処かの国では宗教がらみの正義をめぐって しかけるプラスティックボム ご飯は残して外国から仕入れて 平和でいいな戦争の無い国 フリースタイル ジャズ モータウンサウンド ウエストコースト カントリーにテクノ ジャンルは ともかく 音を鳴らせ 泣いて 笑って 叫んで 溢れ出すエゴ 抱いて 触って 歌って 魂よ癒えよ 心はいつでも 真っ白なアンダーシャツ 金縛りにあい涙をためても 隣の女の態度は他人行儀 テレビをつければバブルがはじけて 私腹を肥やして捕まる参議院議員 スリーオンスリー ロッククライミング フットサル フリスビーにゴルフ なりふりかまわず 汗を流せ 飛んで 走って 転んで 体脂肪よ燃えよ 吸って 吐いて 吐いて 魂よ癒えよ 朝から晩まで 真っ白なアンダーシャツ 何から何まで意味なく思えて 紳士な振りして静かに飲む GIN いつかは誰もがやがては誰もが 死にゆく自分を愛せるだろう 泣いて 笑って 叫んで きりがないエゴ 抱いて 触って 歌って 魂よ癒えよ 食って 飲んで 眠って 起きて 生まれて 生きて 死んで 魂よ癒えよ 心はいつでも 真っ白なアンダーシャツ 冬でも夏でも 真っ白なアンダーシャツ
17,and I close to you,"
Mr.Children",桜井和寿,桜井和寿・小林武史,Baby Baby Baby I wanna kiss you Lady Lady Lady and I wait for you 思ってたような奴じゃなかったようだね まだ君を傷つけるつもりなら許さない Baby Baby Baby もう忘れなよ 悲しみの中では何にも生まれない 同じ事を繰り返してるのなら 何もかも委ねてよ この僕に 気付かぬふりが上手(うま)いから あいつの裏切りも 僕の想いも 揉み消すつもりなの？ 何にも言えずに別れた夏を 悔やんでても虚しい Baby Baby Baby I wanna kiss you Lady Lady Lady and I close to you 泣き疲れて眠っている君に くちづけたあの夜が愛しくて 目を腫らす君を見る度 この胸がちぎれそうだよ 何故そんなに あいつじゃなきゃダメなの？ もう一度抱きしめたなら離せなくなる程に I love you You must be break down 電話のベルが It's just a mad love 鳴る度 心のどこかで I want to be your man かすれた君のその声が クールなふりした僕を狂わせる Baby Baby Baby もう忘れなよ 悲しみの中では何にも生まれない Baby Baby Baby Iwanna kiss you Lady Lady Lady and I close to you
18,and I love you,"
Mr.Children",Kazutoshi Sakurai,Kazutoshi Sakurai,飛べるよ 君にも 羽を広げてごらんよ 一緒に行こう さぁ準備を ほら 早くしておいでよ はぐれずに付いて来れるかい?僕に 君には従順を 僕には優しさを 互いに演じさせて 疲れてしまうけど それでも意味はあるかい どう思う? 今も欲しがってくれるかい?僕を 傷つけ合う為じゃなく 僕らは出会ったって言い切れるかなぁ? 今 分かる答えはひとつ ただひとつ I love you and I love you and I love you 未熟な情熱を 何の保証もない明日を 信じて 疑って 足がすくんでも まだ助走を続けるさ 今日も 一緒に超えてくれるかい 昨日を もう一人きりじゃ飛べない 君が僕を軽くしてるから 今ならきっと照れないで 歌える 歌える 歌える I love you and I love you and I love you どうしようもなく急に一人になりたい時があり 屋上で月を眺めてた 君に想いが強く向くほど 臆病になるのが分かって 素直には認められなくて でも 君が僕につき通してた 嘘をあきらめた日 それが来るのを感じたんだ 未来がまた一つ ほらまた一つ 僕らに近づいてる I love you and I love you and I love you
19,あんまり覚えてないや,"
Mr.Children",Kazutoshi Sakurai,Kazutoshi Sakurai,朝 目を覚ますと 焦茶色のフローリングに君の抜け殻が落ちていて なのに覚えてないんだ 昨日の夜の出来事 あぁ なんてもったいない あんなに欲しがっていた 君を丸ごと この手は抱きしめてたはずなのに あんまり覚えてないや あんまり覚えてないや あんまり覚えてないや あんまり 夕べギターを弾いて ウトウトしかけた瞬間に奇跡のメロディーが降ってきて なのに覚えてないんだ 昨日の夜の魔法を あぁ なんてもったいない 世界中を幸せにするようなメロディー 確かに口ずさんでたはずなのに あんまり覚えてないや あんまり覚えてないや あんまり覚えてないや あんまり じいちゃんになったお父さん ばあちゃんになったお母さん 歩くスピードはトボトボと だけど覚えてるんだ 若かった日の二人を あぁ きっと忘れない キャッチボールをしたり 海で泳いだり アルバムにだって貼り付けてあるんだもの ちゃんと覚えてるんだ ちゃんと覚えてるんだ ちゃんと覚えてるんだ こんなに ドライブに出かけたり お小遣いをくれたり たまに口喧嘩したり すぐに仲直りしたり ちゃんと覚えてるんだ ちゃんと覚えてるんだ ちゃんと覚えてるんだ こんなに 世界中を幸せに出来はしなくたって このメロディーをもう一度繰り返す ラララ…
20,忙しい僕ら,"
Mr.Children",Kazutoshi Sakurai,Kazutoshi Sakurai,泣いて 泣き止んで また泣いて 笑って 忙しい僕らは日々をまた刻んでく 決めて でも迷って うやむやにして また明日 だらしない僕だが 尚も希望は捨てない 高く舞い上がったボールも 必ず地上に落ちるように それが良いことであっても また その逆でも 同じ場所に とどまってはいられないから あんなに魅力的に見えたのに 今は もうどうだってよくなってる それが悪いことであっても また その逆でも 次の場所に 進まずには生きれない 泣いて 泣き止んで また泣いて 笑って 忙しい僕らは日々をまた刻んでく 忙しい僕らは 今日も また
21,It's a wonderful world,"
Mr.Children",KAZUTOSHI SAKURAI,KAZUTOSHI SAKURAI,Oh Baby 通り雨が上がるまで カプチーノでも頼んで待とうか? この醜くも美しい世界で 無駄なものなど きっと何一つとしてないさ 突然 訪れる鈍い悲しみであっても 忘れないで君のことを僕は必要としていて 同じようにそれ以上に想ってる人もいる あなどらないで僕らにはまだやれることがある 手遅れじゃない まだ間に合うさ この世界は今日も美しい そうだ美しい Oh Baby 通り雨が上がったら 鼻歌でも歌って歩こう この醜くも美しい世界で
22,いつでも微笑みを,"
Mr.Children",KAZUTOSHI SAKURAI,KAZUTOSHI SAKURAI,狭い路地に 黒いスーツの人達 急な不幸がその家にあったという 命は果てるもの 分かってはいるけど 何もかも思い通りになったとしても すぐ次の不満を探してしまうだろう 決して満たされない 誰かが傷付いても いつでも微笑みを そんな歌が昔あったような 今こそ その歌を 僕達は歌うべきじゃないかなぁ いつでも微笑みを そんな歌が昔あったような 悲劇の真ん中じゃ その歌は 意味をなくしてしまうかなぁ もし僕がこの世から巣立って逝っても 君の中で僕は生き続けるだろう そう思えば何とか やっていけそうだよ そう だからいつも いつでも微笑(えみ)を いつでも微笑を いつでも微笑を
23,いつの日にか二人で,"
Mr.Children",桜井和寿,桜井和寿,今月になって 何度目だろう 眠むれずにいる夜は あのひとの声 聞きたいのに 話す事はない 本当の気持ちが 恥ずかしくて 騒いで気を引くだけ もう一人の僕が言う “こんなはずじゃないだろう” あのひとから 見れば僕は 年下の Dearest Friend 誰かの言う ダメな訳も うなずけるけれど 気が付けば いつも どんな時も あのひとで 溢れてる 心の中は また曇り空 いつの日にか 二人で… あのひとから すれば僕は 年下の Dearest Friend 一度だけの 甘いKissも 忘れたふりして 映画の中の恋のように 抱きしめ眠る夜を もう少しだけ 夢に見ていよう いつの日にか 二人で いつの日にか 二人で
24,innocent world,"
Mr.Children",桜井和寿,桜井和寿,黄昏の街を背に 抱き合えたあの頃が 胸をかすめる 軽はずみな言葉が 時に人を傷つけた そして君は居ないよ 窓に反射する(うつる) 哀れな自分(おとこ)が 愛(いとお)しくもある この頃では Ah 僕は僕のままで ゆずれぬ夢を抱えて どこまでも歩き続けて行くよ いいだろう？ mr. myself いつの日も この胸に流れてる メロディー 軽やかに 緩やかに 心を伝うよ 陽のあたる坂道を昇る その前に また何処かで 会えるといいな イノセント ワールド 近頃じゃ夕食の 話題でさえ仕事に 汚染(よご)されていて 様々な角度から 物事を見ていたら 自分を見失ってた 入り組んでいる 関係の中で いつも帳尻 合わせるけど Ah 君は君のままに 静かな暮らしの中で 時には風に身を任せるのも いいじゃない oh miss yourself 物憂げな 6月の雨に 打たれて 愛に満ちた 季節を想って 歌うよ 知らぬ間に忘れてた 笑顔など見せて 虹の彼方へ放つのさ 揺れる想いを 変わり続ける 街の片隅で 夢の破片(かけら)が 生まれてくる Oh 今にも そして僕はこのままで 微かな光を胸に 明日も進んで行くつもりだよ いいだろう？ mr. myself いつの日も この胸に流れてる メロディー 切なくて 優しくて 心が痛いよ 陽のあたる坂道を昇る その前に また何処かで 会えるといいな その時は笑って 虹の彼方へ放つのさ イノセント ワールド 果てしなく続く イノセント ワールド
25,祈り ～涙の軌道,"
Mr.Children",Kazutoshi Sakurai,Kazutoshi Sakurai,悴(かじか)んだ君の手を握り締めると 「このまま時間が止まれば...」って思う 覗き込むような目が嘘を探してる 馬鹿だな 何も出てきやしないと笑って答える 遠い未来を夢見たり 憂いたり 今日も頭の中で行ったり来たり 触らないで なるだけ手を加えぬように 心の軌道を見届けたい さようなら さようなら さようなら 夢に泥を塗りつける自分の醜さに 無防備な夢想家だって 誰かが揶揄しても 揺るがぬ想いを 願いを 持ち続けたい 見慣れた場所が違う顔して見えるのも 本当は僕の目線が変わってきたから 「純粋」や「素直」って言葉に 悪意を感じてしまうのは きっと僕に もう邪気があるんだね 忘れようとして でも思い起こしたり いくつになっても皆 似たり寄ったり 失くしたくないものが ひとつまたひとつ 心の軌道に色を添えて 迷ったら その胸の河口から 聞こえてくる流れに耳を澄ませばいい ざわめいた きらめいた 透き通る流れに 笹舟のような 祈りを 浮かべればいい 君が泣いて笑って その度心を揺らす もっと強くありたいって想いで 胸は震えている 忘れないで 君に宿った光 いつまでも消えぬように 見守りたい さようなら さようなら さようなら 憧れを踏みつける自分の弱さに 悲しみが 寂しさが 時々こぼれても 涙の軌道は綺麗な川に変わる そこに 笹舟のような 祈りを 浮かべればいい
26,イミテーションの木,"
Mr.Children",Kazutoshi Sakurai,Kazutoshi Sakurai,導火線の火が シュって音を立てて砂浜を這う その細く強い光 一瞬、静寂がふっと夜を包んで 浮かび上がる あの娘の横顔 風に乗って響いてく音 火薬の匂い 打ち上げられた花火に夢を重ね見上げていた 深く沈めた記憶 向こう岸に捨てた憧れ 青臭い恋のうた 時間は残酷 もう魔法は解けてしまった 過去ばかりが綺麗に見える 現在(いま)がまた散らかっていく リニューアルしたビルの中 イミテーションの木が茂る その永遠の緑をボーっと見ていた 世界中に起こってる悲劇と比べたら 僕の抱えたモヤモヤなど 戯言だってよく知っている イミテーションの木の下を 少年が飛び跳ねている それを見た誰かの顔がほころぶ 情熱も夢も持たない張りぼての命だとしても こんなふうに誰かをそっと癒せるなら 導火線が今 シュって音を立てて胸に点る この確かな強い光 無機質なそのビルの中 イミテーションの木は茂る なにかの役割を持ってそこにある イミテーションの イミテーションの 張りぼての命でも人を癒せるなら 本物じゃなくても君を癒せるなら
